"Folder"	"Gene"	"iframe"
"STAMP_v1_Lollipop"	"ABCC9"	1448
"STAMP_v1_Lollipop"	"ABL1"	1450
"STAMP_v1_Lollipop"	"ADAMTS12"	1452
"STAMP_v1_Lollipop"	"AKT1"	1454
"STAMP_v1_Lollipop"	"ALK"	1456
"STAMP_v1_Lollipop"	"AMOT"	1458
"STAMP_v1_Lollipop"	"ASB18"	1460
"STAMP_v1_Lollipop"	"ASTN1"	1462
"STAMP_v1_Lollipop"	"ASTN2"	1464
"STAMP_v1_Lollipop"	"ATP11B"	1466
"STAMP_v1_Lollipop"	"BCL2"	1468
"STAMP_v1_Lollipop"	"BRAF"	1470
"STAMP_v1_Lollipop"	"BRINP3"	1472
"STAMP_v1_Lollipop"	"C14orf177"	1474
"STAMP_v1_Lollipop"	"C6orf118"	1476
"STAMP_v1_Lollipop"	"CA10"	1478
"STAMP_v1_Lollipop"	"CD226"	1480
"STAMP_v1_Lollipop"	"CDH1"	1482
"STAMP_v1_Lollipop"	"CDH12"	1484
"STAMP_v1_Lollipop"	"CDH18"	1486
"STAMP_v1_Lollipop"	"CDH7"	1488
"STAMP_v1_Lollipop"	"CDH9"	1490
"STAMP_v1_Lollipop"	"CDKN2A"	1492
"STAMP_v1_Lollipop"	"CHRM2"	1494
"STAMP_v1_Lollipop"	"CNTNAP2"	1496
"STAMP_v1_Lollipop"	"CNTNAP5"	1498
"STAMP_v1_Lollipop"	"COL22A1"	1500
"STAMP_v1_Lollipop"	"CSMD1"	1502
"STAMP_v1_Lollipop"	"CSMD3"	1504
"STAMP_v1_Lollipop"	"CTNNA2"	1506
"STAMP_v1_Lollipop"	"CTNNB1"	1508
"STAMP_v1_Lollipop"	"CTSS"	1510
"STAMP_v1_Lollipop"	"CUL3"	1512
"STAMP_v1_Lollipop"	"DCAF12L1"	1514
"STAMP_v1_Lollipop"	"DCAF12L2"	1516
"STAMP_v1_Lollipop"	"DCAF4L2"	1518
"STAMP_v1_Lollipop"	"DCC"	1520
"STAMP_v1_Lollipop"	"DDR2"	1522
"STAMP_v1_Lollipop"	"DDX1"	1524
"STAMP_v1_Lollipop"	"DMD"	1526
"STAMP_v1_Lollipop"	"EGFLAM"	1528
"STAMP_v1_Lollipop"	"EGFR"	1530
"STAMP_v1_Lollipop"	"ERBB2"	1532
"STAMP_v1_Lollipop"	"ERBB4"	1534
"STAMP_v1_Lollipop"	"FAM135B"	1536
"STAMP_v1_Lollipop"	"FAM5C"	1538
"STAMP_v1_Lollipop"	"FBN2"	1540
"STAMP_v1_Lollipop"	"FBXL7"	1542
"STAMP_v1_Lollipop"	"FBXW7"	1544
"STAMP_v1_Lollipop"	"FGD1"	1546
"STAMP_v1_Lollipop"	"FGF3"	1548
"STAMP_v1_Lollipop"	"FGFR1"	1550
"STAMP_v1_Lollipop"	"FGFR2"	1552
"STAMP_v1_Lollipop"	"FGFR3"	1554
"STAMP_v1_Lollipop"	"FOXO1"	1556
"STAMP_v1_Lollipop"	"FRYL"	1558
"STAMP_v1_Lollipop"	"GABRA2"	1560
"STAMP_v1_Lollipop"	"GABRA6"	1562
"STAMP_v1_Lollipop"	"GRID1"	1564
"STAMP_v1_Lollipop"	"GRIK3"	1566
"STAMP_v1_Lollipop"	"GRM8"	1568
"STAMP_v1_Lollipop"	"HAX1"	1570
"STAMP_v1_Lollipop"	"HCN1"	1572
"STAMP_v1_Lollipop"	"HRAS"	1574
"STAMP_v1_Lollipop"	"HTR1A"	1576
"STAMP_v1_Lollipop"	"IDH1"	1578
"STAMP_v1_Lollipop"	"IFLTD1"	1580
"STAMP_v1_Lollipop"	"IGFL3"	1582
"STAMP_v1_Lollipop"	"IQCJ-SCHIP1"	1584
"STAMP_v1_Lollipop"	"KCND2"	1586
"STAMP_v1_Lollipop"	"KCNJ3"	1588
"STAMP_v1_Lollipop"	"KCNT2"	1590
"STAMP_v1_Lollipop"	"KDR"	1592
"STAMP_v1_Lollipop"	"KEAP1"	1594
"STAMP_v1_Lollipop"	"KIT"	1596
"STAMP_v1_Lollipop"	"KLHL1"	1598
"STAMP_v1_Lollipop"	"KRAS"	1600
"STAMP_v1_Lollipop"	"LANCL2"	1602
"STAMP_v1_Lollipop"	"LPL"	1604
"STAMP_v1_Lollipop"	"LPPR4"	1606
"STAMP_v1_Lollipop"	"LRFN5"	1608
"STAMP_v1_Lollipop"	"LRP1B"	1610
"STAMP_v1_Lollipop"	"LRRIQ3"	1612
"STAMP_v1_Lollipop"	"LRRTM1"	1614
"STAMP_v1_Lollipop"	"LRRTM4"	1616
"STAMP_v1_Lollipop"	"MAP2K1"	1618
"STAMP_v1_Lollipop"	"MAP2K2"	1620
"STAMP_v1_Lollipop"	"MARCH1"	1622
"STAMP_v1_Lollipop"	"MCCC1"	1624
"STAMP_v1_Lollipop"	"MCF2L2"	1626
"STAMP_v1_Lollipop"	"MCL1"	1628
"STAMP_v1_Lollipop"	"MECOM"	1630
"STAMP_v1_Lollipop"	"MET"	1632
"STAMP_v1_Lollipop"	"MKRN3"	1634
"STAMP_v1_Lollipop"	"MRGPRD"	1636
"STAMP_v1_Lollipop"	"MS4A3"	1638
"STAMP_v1_Lollipop"	"MYC"	1640
"STAMP_v1_Lollipop"	"MYCN"	1642
"STAMP_v1_Lollipop"	"MYD88"	1644
"STAMP_v1_Lollipop"	"MYEOV"	1646
"STAMP_v1_Lollipop"	"NAV3"	1648
"STAMP_v1_Lollipop"	"NCAM1"	1650
"STAMP_v1_Lollipop"	"NETO1"	1652
"STAMP_v1_Lollipop"	"NFE2L2"	1654
"STAMP_v1_Lollipop"	"NKD2"	1656
"STAMP_v1_Lollipop"	"NLRP3"	1658
"STAMP_v1_Lollipop"	"NOTCH1"	1660
"STAMP_v1_Lollipop"	"NRAS"	1662
"STAMP_v1_Lollipop"	"NT5C1A"	1664
"STAMP_v1_Lollipop"	"PABPC4"	1666
"STAMP_v1_Lollipop"	"PAK7"	1668
"STAMP_v1_Lollipop"	"PALB2"	1670
"STAMP_v1_Lollipop"	"PARK2"	1672
"STAMP_v1_Lollipop"	"PDGFRA"	1674
"STAMP_v1_Lollipop"	"PDGFRB"	1676
"STAMP_v1_Lollipop"	"PDYN"	1678
"STAMP_v1_Lollipop"	"PDZRN3"	1680
"STAMP_v1_Lollipop"	"PHC3"	1682
"STAMP_v1_Lollipop"	"PIK3CA"	1684
"STAMP_v1_Lollipop"	"PKLR"	1686
"STAMP_v1_Lollipop"	"POLDIP2"	1688
"STAMP_v1_Lollipop"	"POM121L12"	1690
"STAMP_v1_Lollipop"	"PTEN"	1692
"STAMP_v1_Lollipop"	"PTPRD"	1694
"STAMP_v1_Lollipop"	"RAF1"	1696
"STAMP_v1_Lollipop"	"RB1"	1698
"STAMP_v1_Lollipop"	"REG3A"	1700
"STAMP_v1_Lollipop"	"RET"	1702
"STAMP_v1_Lollipop"	"RFX5"	1704
"STAMP_v1_Lollipop"	"RIT2"	1706
"STAMP_v1_Lollipop"	"RLF"	1708
"STAMP_v1_Lollipop"	"ROBO1"	1710
"STAMP_v1_Lollipop"	"ROS1"	1712
"STAMP_v1_Lollipop"	"RPS4Y1"	1714
"STAMP_v1_Lollipop"	"S100A7"	1716
"STAMP_v1_Lollipop"	"SAMD7"	1718
"STAMP_v1_Lollipop"	"SEMA6C"	1720
"STAMP_v1_Lollipop"	"SERPINB3"	1722
"STAMP_v1_Lollipop"	"SETBP1"	1724
"STAMP_v1_Lollipop"	"SF3B1"	1726
"STAMP_v1_Lollipop"	"SKP2"	1728
"STAMP_v1_Lollipop"	"SLC14A2"	1730
"STAMP_v1_Lollipop"	"SLC1A3"	1732
"STAMP_v1_Lollipop"	"SLC45A2"	1734
"STAMP_v1_Lollipop"	"SLC8A1"	1736
"STAMP_v1_Lollipop"	"SLIT3"	1738
"STAMP_v1_Lollipop"	"SLITRK1"	1740
"STAMP_v1_Lollipop"	"SMAD4"	1742
"STAMP_v1_Lollipop"	"SOX2"	1744
"STAMP_v1_Lollipop"	"SPTA1"	1746
"STAMP_v1_Lollipop"	"ST6GAL2"	1748
"STAMP_v1_Lollipop"	"STK11"	1750
"STAMP_v1_Lollipop"	"SYT4"	1752
"STAMP_v1_Lollipop"	"TG"	1754
"STAMP_v1_Lollipop"	"TGFBR3"	1756
"STAMP_v1_Lollipop"	"TNN"	1758
"STAMP_v1_Lollipop"	"TNR"	1760
"STAMP_v1_Lollipop"	"TP53"	1762
"STAMP_v1_Lollipop"	"TP63"	1764
"STAMP_v1_Lollipop"	"TPCN2"	1766
"STAMP_v1_Lollipop"	"TRIM58"	1768
"STAMP_v1_Lollipop"	"TRIP13"	1770
"STAMP_v1_Lollipop"	"TRPC5"	1772
"STAMP_v1_Lollipop"	"U2AF1"	1774
"STAMP_v1_Lollipop"	"UGT3A2"	1776
"STAMP_v1_Lollipop"	"VSTM2A"	1778
"STAMP_v1_Lollipop"	"WDR7"	1780
"STAMP_v1_Lollipop"	"WHSC1L1"	1782
"STAMP_v1_Lollipop"	"ZAN"	1784
"STAMP_v1_Lollipop"	"ZIC1"	1786
"STAMP_v1_Lollipop"	"ZIC4"	1788
"STAMP_v1_Lollipop"	"ZMYM5"	1790
"STAMP_v1_Lollipop"	"ZNF236"	1792
"STAMP_v1_Lollipop"	"ZNF521"	1794
"STAMP_v2_Lollipop"	"ABL1"	1796
"STAMP_v2_Lollipop"	"AKT1"	1798
"STAMP_v2_Lollipop"	"ALK"	1800
"STAMP_v2_Lollipop"	"APC"	1802
"STAMP_v2_Lollipop"	"AR"	1804
"STAMP_v2_Lollipop"	"ARAF"	1806
"STAMP_v2_Lollipop"	"ARID1A"	1808
"STAMP_v2_Lollipop"	"AURKA"	1810
"STAMP_v2_Lollipop"	"BAP1"	1812
"STAMP_v2_Lollipop"	"BCL2"	1814
"STAMP_v2_Lollipop"	"BCR"	1816
"STAMP_v2_Lollipop"	"BRAF"	1818
"STAMP_v2_Lollipop"	"BRCA1"	1820
"STAMP_v2_Lollipop"	"BRCA2"	1822
"STAMP_v2_Lollipop"	"CASP8"	1824
"STAMP_v2_Lollipop"	"CCND1"	1826
"STAMP_v2_Lollipop"	"CCND2"	1828
"STAMP_v2_Lollipop"	"CCND3"	1830
"STAMP_v2_Lollipop"	"CCNE1"	1832
"STAMP_v2_Lollipop"	"CDH1"	1834
"STAMP_v2_Lollipop"	"CDK12"	1836
"STAMP_v2_Lollipop"	"CDK4"	1838
"STAMP_v2_Lollipop"	"CDK6"	1840
"STAMP_v2_Lollipop"	"CDKN1B"	1842
"STAMP_v2_Lollipop"	"CDKN2A"	1844
"STAMP_v2_Lollipop"	"CDKN2B"	1846
"STAMP_v2_Lollipop"	"CHEK2"	1848
"STAMP_v2_Lollipop"	"CREBBP"	1850
"STAMP_v2_Lollipop"	"CTNNB1"	1852
"STAMP_v2_Lollipop"	"CUL3"	1854
"STAMP_v2_Lollipop"	"DDR2"	1856
"STAMP_v2_Lollipop"	"DNMT3A"	1858
"STAMP_v2_Lollipop"	"EGFR"	1860
"STAMP_v2_Lollipop"	"EP300"	1862
"STAMP_v2_Lollipop"	"EPHA2"	1864
"STAMP_v2_Lollipop"	"EPHA3"	1866
"STAMP_v2_Lollipop"	"ERBB2"	1868
"STAMP_v2_Lollipop"	"ERBB3"	1870
"STAMP_v2_Lollipop"	"ERBB4"	1872
"STAMP_v2_Lollipop"	"ESR1"	1874
"STAMP_v2_Lollipop"	"EZH2"	1876
"STAMP_v2_Lollipop"	"FAM135B"	1878
"STAMP_v2_Lollipop"	"FAM5C"	1880
"STAMP_v2_Lollipop"	"FBXW7"	1882
"STAMP_v2_Lollipop"	"FGF3"	1884
"STAMP_v2_Lollipop"	"FGF4"	1886
"STAMP_v2_Lollipop"	"FGFR1"	1888
"STAMP_v2_Lollipop"	"FGFR2"	1890
"STAMP_v2_Lollipop"	"FGFR3"	1892
"STAMP_v2_Lollipop"	"FLT3"	1894
"STAMP_v2_Lollipop"	"FOXO1"	1896
"STAMP_v2_Lollipop"	"GATA3"	1898
"STAMP_v2_Lollipop"	"GNA11"	1900
"STAMP_v2_Lollipop"	"GNAQ"	1902
"STAMP_v2_Lollipop"	"GNAS"	1904
"STAMP_v2_Lollipop"	"HGF"	1906
"STAMP_v2_Lollipop"	"HNF1A"	1908
"STAMP_v2_Lollipop"	"HRAS"	1910
"STAMP_v2_Lollipop"	"IDH1"	1912
"STAMP_v2_Lollipop"	"IDH2"	1914
"STAMP_v2_Lollipop"	"IGF1R"	1916
"STAMP_v2_Lollipop"	"JAK2"	1918
"STAMP_v2_Lollipop"	"JAK3"	1920
"STAMP_v2_Lollipop"	"KCNT2"	1922
"STAMP_v2_Lollipop"	"KDR"	1924
"STAMP_v2_Lollipop"	"KEAP1"	1926
"STAMP_v2_Lollipop"	"KIT"	1928
"STAMP_v2_Lollipop"	"KRAS"	1930
"STAMP_v2_Lollipop"	"MAP2K1"	1932
"STAMP_v2_Lollipop"	"MAP2K2"	1934
"STAMP_v2_Lollipop"	"MDM2"	1936
"STAMP_v2_Lollipop"	"MDM4"	1938
"STAMP_v2_Lollipop"	"MED12"	1940
"STAMP_v2_Lollipop"	"MET"	1942
"STAMP_v2_Lollipop"	"MLH1"	1944
"STAMP_v2_Lollipop"	"MSH2"	1946
"STAMP_v2_Lollipop"	"MTOR"	1948
"STAMP_v2_Lollipop"	"MYC"	1950
"STAMP_v2_Lollipop"	"MYCL"	1952
"STAMP_v2_Lollipop"	"MYCN"	1954
"STAMP_v2_Lollipop"	"MYD88"	1956
"STAMP_v2_Lollipop"	"NF1"	1958
"STAMP_v2_Lollipop"	"NF2"	1960
"STAMP_v2_Lollipop"	"NFE2L2"	1962
"STAMP_v2_Lollipop"	"NKX2-1"	1964
"STAMP_v2_Lollipop"	"NOTCH1"	1966
"STAMP_v2_Lollipop"	"NRAS"	1968
"STAMP_v2_Lollipop"	"NTRK1"	1970
"STAMP_v2_Lollipop"	"NTRK2"	1972
"STAMP_v2_Lollipop"	"NTRK3"	1974
"STAMP_v2_Lollipop"	"PALB2"	1976
"STAMP_v2_Lollipop"	"PCBP1"	1978
"STAMP_v2_Lollipop"	"PDGFRA"	1980
"STAMP_v2_Lollipop"	"PDGFRB"	1982
"STAMP_v2_Lollipop"	"PIK3CA"	1984
"STAMP_v2_Lollipop"	"PIK3R1"	1986
"STAMP_v2_Lollipop"	"POLD1"	1988
"STAMP_v2_Lollipop"	"POLE"	1990
"STAMP_v2_Lollipop"	"PPP2R1A"	1992
"STAMP_v2_Lollipop"	"PTCH1"	1994
"STAMP_v2_Lollipop"	"PTEN"	1996
"STAMP_v2_Lollipop"	"PTPN11"	1998
"STAMP_v2_Lollipop"	"PTPRD"	2000
"STAMP_v2_Lollipop"	"RAC1"	2002
